Year;0;1;2;3;4;5;6;7;8+
1994;5474.54;415.73;883.81;559.72;443.73;189.42;60.4;23.51;2.33
1995;5107.78;1675.34;328.61;357.96;353.85;253.51;126.76;46.43;27.24
1996;1833.13;1439.46;590.01;434.09;295.17;305.55;119.26;46.98;18.91
1997;2859.22;1955.4;738.18;394.53;162.43;118.91;99.29;33.28;47.85
1998;2490.09;801.35;678.53;394.07;236.83;100.19;50.98;23.64;9.33
1999;5993.82;1338.71;287.24;232.51;155.95;51.94;8.13;1.47;2.1
2000;1008.91;1429.88;453.98;328.96;201.59;78.93;38.61;5.92;4.19
2001;2477.972;1125.716;1226.932;844.088;366.841;131.43;85.69;19.471;9.683
2002;4102.595;837.557;421.396;575.358;341.12;63.678;24.52;9.69;13.38
2003;3776.78;1238.48;222.53;217.27;260.35;96.96;38.04;8.58;9.89
2004;2554.68;968.86;592.36;346.23;163.15;143.32;79.03;22.6;11.77
2005;3055.595;750.199;590.756;295.659;142.778;78.541;79.018;25.564;15.013
2006;4159.311;940.892;226.959;279.618;212.201;139.813;97.261;66.937;27.789
2007;2588.922;558.851;260.402;117.412;76.782;43.919;12.144;9.262;8.839
2008;2150.306;392.737;165.347;166.301;102.018;82.174;29.727;11.443;9.262
2009;2821.022;270.959;95.866;43.553;17.761;9.016;3.227;1.947;1.704
