year;N20area;N20area_m;N20volume;N20volume_m
1992;660;58;499;28
1993;4542;1666;3651;1266
1994;14701;7514;12472;6475
1995;9327;3662;7065;2709
1996;24540;6696;17714;4790
1997;5290;3331;4250;2618
1998;18808;16007;14695;12730
1999;21961;18899;16003;13535
2000;3404;2637;2669;2061
2001;5670;3618;4495;2855
2002;12452;10047;8503;6799
2003;4775;3319;3128;2079
2004;6818;5660;5320;4429
2005;5118;2911;3250;2099
2006;4173;2830;3479;2376
2007;1986;1405;1388;995
2008;1903;1251;1471;941
2009;7989;2826;5478;3774
2010;8050;6321;4930;3751
2011;4493;3219;2765;1899
2012;1340;849;911;567
2013;3588;1543;2768;1963
2014;681;418;483;299
2015;3001;1987;1745;1125
2016;482;292;263;145
2017;1247;717;770;423
2018;1563;832;1108;573
2019;1317;817;662;402
2020;239;145;165;93
2021;2751;2097;1301;923
2022;6603;3203;4238;1659
2023;1516;985;903;553
2024;3306;2207;2603;1751
