IndividualAge;X2010;X2011;X2012;X2013;X2014;X2015;X2016;X2017;X2018;X2019;X2020;X2021;X2022;X2023;X2024
0;4332.949022;2841.898789;4147.44394;8754.976547;5026.31271;904.3473786;2424.705416;1301.032541;2556.315968;1784.081209;1009.851107;479.2389521;2615.336568;2338.697802;3613.289897
1;632.7923695;1201.568912;753.2126848;919.8061462;554.986877;491.9965488;501.8138527;525.8462398;488.2018696;322.9961261;249.0823293;204.8000288;234.5249364;611.6900135;187.1759072
2;342.664791;438.9316975;278.8951324;544.3293158;195.9895697;787.6920547;185.9961314;120.2418848;87.89499509;161.7459507;98.11422142;334.5420965;77.17879815;128.9841567;139.0800172
3;236.6720129;248.2743548;207.5330824;378.2839122;252.5886592;384.4316768;225.2216866;129.5865763;41.25373243;69.43906745;79.64503839;180.7829149;47.72795726;87.95733261;29.4730025
4;112.7285633;127.0137359;137.6972877;255.7314142;279.4490565;223.0138142;63.122304;134.3928934;28.69732327;25.24100597;25.04797479;96.16505242;25.734314;54.30950048;15.57397524
5;92.70470917;56.62733935;94.84662633;114.4731048;272.9599618;148.4636622;36.64227567;55.56101942;17.14018102;17.81998506;24.34483144;44.92855045;14.22529259;38.11773718;21.28111335
6;54.13072474;47.24181009;56.63129622;29.72677157;164.7799895;134.0971832;14.0473802;29.81108689;3.673953246;17.92437925;9.067780231;14.73828151;7.50569576;17.13023922;5.441558976
7;20.81747042;27.69651367;26.6712301;19.85223397;55.82200788;58.94435752;0.238775156;5.351698524;1.188721688;1.632112961;4.518755434;3.946373594;2.11355505;6.519749602;4.645274559
8;11.79584451;7.687714575;8.157265653;5.685317947;20.97386274;34.14870879;0;0;0.396240563;0;0.797014027;0;0.331373999;0.98718437;0.197850775
9;2.284541107;3.373541035;3.583351836;1.473610946;18.91756621;3.186584448;0;0;0.396240563;0;0.10927479;2.74378657;0.1307652;0.936037126;0
10;3.117955603;3.176576301;0.725965039;0;2.592497737;2.13195696;0;0;0;0;0.055480751;0;0;0;0
11;0.988228558;6.878412564;0;0.402226358;5.21055747;4.2173913;0;0;0;0;0;0;0;0;0.039570155
12;0;0.746543664;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;1.061722565;0;0;0;0;0;0;0;0;0
