"year","quarter","0","1","2","3","4","5","6","7","8+","value"
2000,1,0,359372.143001671,189969.395748271,93290.448769587,60628.4524351631,28073.8913215385,15310.3770216887,7337.46990335134,3126.86784511428,"wbss_canum_1000"
2000,2,0,286113.764610239,134317.08789286,63732.8418399562,51063.9690798979,25695.067186817,18286.8381352886,5144.66134727486,6451.42760621946,"wbss_canum_1000"
2000,3,9793.68825196032,232619.777253759,131889.281863361,26212.1773160961,23767.3596532794,7670.09770496156,1788.41596935721,583.686941406757,295.270600141928,"wbss_canum_1000"
2000,4,166483.596272167,276898.195729899,131474.968722736,33911.6022026919,9644.69987112087,9956.70377904223,439.637010952609,626.285604436912,644.795481609263,"wbss_canum_1000"
2001,1,0,278152.767391329,158148.519891669,112695.474727612,56356.604038056,32147.9332498683,11618.8006805867,5886.96426619363,1120.08687539592,"wbss_canum_1000"
2001,2,0,143490.630315282,150334.564212475,89549.1097707587,44967.4102013946,23307.7688456303,17746.2579636698,7539.05298897073,3206.08249741741,"wbss_canum_1000"
2001,3,165089.773656027,72213.4895579505,107860.524530722,55743.1413644548,34970.1112148376,14725.7857443535,12943.6508815362,4875.40706616684,2109.2276872441,"wbss_canum_1000"
2001,4,575576.023569095,41158.7672123595,76558.4860034432,28729.0208625234,6293.87967976842,2061.72239343439,1179.79151903899,600.459692504246,100,"wbss_canum_1000"
2002,1,0,410181.837733924,85494.7998497519,93057.3995478956,56012.3436257888,16377.9248677502,17866.0490369637,4340.82780404914,1884.27693385269,"wbss_canum_1000"
2002,2,0,144119.447579049,73305.5262734422,79090.600932418,68698.4457510114,18036.6337777222,9944.86574228117,6365.53924138838,3817.39215434402,"wbss_canum_1000"
2002,3,71603.2602676685,82492.0904477658,52496.4962251742,62175.5452924644,31764.6808064567,7914.55997113139,3808.55900822373,1422.4711084529,796.918831807239,"wbss_canum_1000"
2002,4,72171.1992072419,65316.1543323397,57500.6686824191,101884.97009588,42114.1255176149,18675.7617894611,2620.02328317387,397.153483311644,891.620372410928,"wbss_canum_1000"
2003,1,0,35342.4309750256,91084.0509004704,61203.5928040149,90293.9491811287,47692.1907160013,12740.0319131619,10224.5049698515,4303.4516227904,"wbss_canum_1000"
2003,2,0,3595.26385821273,47407.0407516519,32624.5492203791,58941.2212216619,47076.8583444735,11485.5465303132,4007.04294402327,3559.57552513998,"wbss_canum_1000"
2003,3,0,14566.1986480856,59906.0892989251,27937.981539396,29155.1742117722,7339.08568332147,3342.70237525297,604.588236384982,226.538391603484,"wbss_canum_1000"
2003,4,64068.8851566714,41542.1108304445,48394.0153540823,23180.3969454131,14703.4690335813,4735.63454780842,1295.69965721566,171.360594341829,167.525890034446,"wbss_canum_1000"
2004,1,0,101108.867082877,75419.9311285995,61991.8830895567,41463.4620524523,44715.616091729,23395.0326958069,8156.92764245811,4637.50601528699,"wbss_canum_1000"
2004,2,0,33661.2588681935,14799.0826581337,19154.538845265,23843.033468881,27576.0045184919,21544.7203567503,4942.21443006492,5669.77961176117,"wbss_canum_1000"
2004,3,3137.29488132744,68386.690408111,33435.7973544302,35738.8628964555,16795.3167766655,13147.4098923349,3643.4843811946,1258.56658178915,738.176943274486,"wbss_canum_1000"
2004,4,26553.0314208792,82244.6070440388,40160.5087911836,34958.0240532071,17564.3795294958,11854.0358716519,3954.30455452749,1176.44458922856,126.584,"wbss_canum_1000"
2005,1,0,79385.9744485452,114030.768787318,76214.7830894706,61290.7083088937,23617.219529485,31889.0725493034,15533.1285407691,5427.2583716029,"wbss_canum_1000"
2005,2,0,23630.0769918745,36857.2138854989,34540.7221765919,46834.5001010027,29350.3187532914,25776.2785670054,13618.7002455545,6229.2880527548,"wbss_canum_1000"
2005,3,90570.0203641452,24035.2259751809,100381.951428758,41265.030093691,19885.0600220769,7999.1581788746,6663.66072729356,1919.25361845754,791.610047293981,"wbss_canum_1000"
2005,4,2792.28376291461,46441.9245598522,55179.2574940577,29906.6472233801,11141.8921124448,3157.79896489598,3606.63457210312,751.341209220563,815.514334118516,"wbss_canum_1000"
2006,1,0,55658.467524743,84752.0813615699,110139.641338521,47430.7011454825,31804.282586809,11046.922630553,10038.0895119342,5299.16255885838,"wbss_canum_1000"
2006,2,0,4933.59344186148,21703.0349620093,49068.5651150469,47219.9156392426,20881.0716511073,16039.8569177545,11702.4928779421,5485.18363300315,"wbss_canum_1000"
2006,3,271.985361816169,22929.1000195073,47326.4795734746,33866.6231006314,22483.8926162085,10479.4432883621,6053.40711323011,2381.62848799619,1727.73829898111,"wbss_canum_1000"
2006,4,15640.1294032105,49053.4291018548,34463.604364325,26626.2857455342,19138.0306796501,8434.67917047328,2607.00750554777,1078.96420983384,786.013342946264,"wbss_canum_1000"
2007,1,0,39805.6264696027,76830.5981570471,52034.8753882742,58581.0746550503,25051.7960337202,13462.1700819616,8842.48141398089,7373.19924019646,"wbss_canum_1000"
2007,2,0,4843.70375197326,35376.9308742566,48323.0382210428,34605.0890045145,20750.4191980928,8018.22021619542,4303.53758176128,3124.87428977998,"wbss_canum_1000"
2007,3,599.371801882923,59101.3358377387,42124.6823940379,22390.4467112885,24630.5283468118,16129.1508792215,7377.45592175271,2545.16085658471,1925.98308072752,"wbss_canum_1000"
2007,4,1664.59928186591,39628.7063641982,36453.2739033192,25060.5974303905,20725.6888211766,9451.65016354964,4131.74562930865,3250.27789850596,3509.02542584016,"wbss_canum_1000"
2008,1,0,8736.12150763266,50396.9163450004,53236.2301221448,36112.5193571836,43669.5504497236,20588.5184070351,7637.62534070562,8350.79372422087,"wbss_canum_1000"
2008,2,0,9513.89455832576,16646.3592772143,32177.852427896,26139.0786759061,21670.273348819,15279.785734794,5418.09721759415,6025.67554005878,"wbss_canum_1000"
2008,3,4432.24125851403,73640.2041329898,38636.7176294227,37672.5004387743,13596.3866257025,14287.1607697978,8324.85908448811,1657.66097435607,397.122153180917,"wbss_canum_1000"
2008,4,7955.29335026905,75821.8165811973,24579.1829637612,22663.5933562398,13139.6587580082,10897.6590640112,4006.35708283941,1733.95798889833,1911.70254453089,"wbss_canum_1000"
2009,1,0,146527.712531357,147493.10847174,54827.2034852323,32594.0730520519,24453.008763782,23081.8578961064,10835.195591252,5956.02280349195,"wbss_canum_1000"
2009,2,0,16945.4787537417,28932.6942944199,18901.7239267871,16427.9779064082,12099.7587294449,9206.3257803679,4114.90748953316,2950.57701675367,"wbss_canum_1000"
2009,3,3988.73476298658,28311.2071437455,34642.6165869136,10398.4951405251,6790.72282687886,4491.44808229564,4540.26719737289,1743.06491989196,1775.90168932994,"wbss_canum_1000"
2009,4,13037.9289820143,48513.558183306,19238.7397312227,8222.05707057131,5404.83905680829,3635.43707910883,1729.50174874055,501.540070724378,193.103161224181,"wbss_canum_1000"
2010,1,0,21106.8573359297,64468.2581832763,37294.9948249615,23306.3460793784,13344.0737171521,9742.35969055998,5467.80299647661,4622.49957680192,"wbss_canum_1000"
2010,2,0,3472.44979020921,19276.7351160595,11410.3953939305,9929.3230934369,10051.1241383837,5962.17888546479,3728.6419710585,3296.95208239479,"wbss_canum_1000"
2010,3,6164.72569695205,18215.923444017,22754.3463233182,18900.1088919485,6045.51411642182,2911.89192989801,1161.67705423528,654.684999448738,802.769381380553,"wbss_canum_1000"
2010,4,9231.30764764966,35631.1029773625,15154.3028712875,7136.0037153534,3408.55763960349,2893.6347033196,483.119537002852,375.270050596803,343.648442185063,"wbss_canum_1000"
2011,1,0,32446.4666797572,17429.296858542,17700.8889250536,21898.2124753539,12577.5716480611,10933.9484241862,4801.7772468933,4313.3622774964,"wbss_canum_1000"
2011,2,0,8407.50497415397,1770.49176586883,1969.80120290192,7752.66827092894,5202.67922252017,5357.70541777959,3302.40188107662,2512.10366328635,"wbss_canum_1000"
2011,3,2708.50203368334,10238.7793410958,13320.8923464716,9738.05083189922,8141.07850286405,5002.98249064449,2384.89019938832,1536.56455648798,1561.79613742505,"wbss_canum_1000"
2011,4,6141.49933162086,50136.0161427445,12323.0167406444,10305.4157495091,8623.91344417417,4191.54979232068,3386.28228786409,1457.24256303776,723.009129464851,"wbss_canum_1000"
2012,1,0,36598.4247389968,67408.4110485631,35433.7616116076,27090.9042092532,21027.5150268636,10067.3936168371,6022.9400154583,6019.29630309551,"wbss_canum_1000"
2012,2,0,5984.2893009474,9103.28088785209,5988.56806685053,5561.23059978109,3522.87434481084,2214.61976890295,1524.13466384993,1190.05831357096,"wbss_canum_1000"
2012,3,1521.27827694,13002.7383859928,39547.7362433913,12437.5505664173,8605.56502546325,6568.96392798281,2338.50807272693,1199.0116137411,1016.16928270829,"wbss_canum_1000"
2012,4,435.140656489288,17401.255141055,17630.7386644358,9905.60975591514,6448.51844396863,4928.38820764526,1382.53362052129,1332.91959398831,728.452171468486,"wbss_canum_1000"
2013,1,0,48744.7888096869,38068.3375692053,49048.8822705553,31369.120420842,14713.6704372493,11231.5328902499,4295.5127175832,4309.07576065497,"wbss_canum_1000"
2013,2,0,9939.47962977266,9812.04102769978,16942.5610885886,20024.0322658336,10227.000670954,8351.49649893234,4341.29792565118,5275.54829085361,"wbss_canum_1000"
2013,3,4.11237921914822,551.288052657337,23776.8445943168,18702.6797952865,5965.81494117853,3659.75717532192,3023.63796106546,1840.10745829125,1006.76705675058,"wbss_canum_1000"
2013,4,993.32182260511,14067.1973869622,22071.835249041,24025.1645022309,8400.2208670226,5268.15181243972,3722.79938070194,1238.87921342718,778.947561029324,"wbss_canum_1000"
2014,1,0,5454.81439615314,20796.4488744478,28058.4436613588,34423.5025948761,15399.9194106165,5840.45025818502,3774.19652456832,3663.79389460363,"wbss_canum_1000"
2014,2,0,1511.192159309,11089.4868396479,6606.14790727916,6009.21228292286,3064.61565751076,2041.90989322898,1147.619731808,842.363466474479,"wbss_canum_1000"
2014,3,14551.2033647156,27151.7943298223,9090.35945740932,10691.4950740979,19434.3440316571,4703.10814975758,2766.98862545524,2141.42922868508,1355.56645443157,"wbss_canum_1000"
2014,4,17857.2128870766,30567.2186281323,14543.0731985833,17048.8822386346,9782.46184511065,3237.35807827617,2445.43860012157,1679.10676002669,1132.9308075676,"wbss_canum_1000"
2015,1,0,45004.0136902871,72877.1154504138,26621.8921527924,33296.2536892772,25709.7463237568,12960.8329117149,4353.25841094331,6276.80697471949,"wbss_canum_1000"
2015,2,0,7270.895414039,17588.1746057428,8626.28501819237,8494.37678951042,5641.30646682375,1888.83070282454,1370.3331172708,1973.13913391478,"wbss_canum_1000"
2015,3,168.585812075903,13762.5902984403,10307.5176269425,7132.78911826331,8261.68740119894,3142.72722942757,2133.88203440939,2231.61369238281,2651.97651001388,"wbss_canum_1000"
2015,4,17832.1532188077,43947.0485181897,25602.494912232,12280.6760156569,8226.53509983785,4187.04520327927,1103.1084989939,768.630189975108,843.694875866061,"wbss_canum_1000"
2016,1,0,4894.571428,121881.407272038,71418.4388567224,30710.5925495357,22425.7652271795,16757.4549517086,6931.89530828195,5029.6702547226,"wbss_canum_1000"
2016,2,0,4860.59326574114,3287.58751362591,14218.8843928595,7111.53283452494,5159.29095264836,2597.14092982691,2976.42757979501,2642.78879248732,"wbss_canum_1000"
