"year","fleet","0","1","2","3","4","5","6","7","8+","value"
2000,"A",0,0,8161,9752,10223,5660,2466,605,778,"wbss_canum_1000"
2000,"C",34431.675106462,89571.8354838844,227422.249507169,101442.330443323,61786.8879728679,16939.6937116939,5925.22497185865,944.579882354349,674.861973924995,"wbss_canum_1000"
2000,"D",41062.6061447552,122654.639285414,3016.4327368444,0,0,0,0,0,0,"wbss_canum_1000"
2000,"F",100783.00327291,942777.40582627,357212.051983214,115704.739685009,83317.5930665934,54456.0662806654,29900.0431654285,12747.5239141155,9843.49955915994,"wbss_canum_1000"
2001,"A",0,454,11344,10224,6123,7151,2664,1556,410,"wbss_canum_1000"
2001,"C",9160.08257284785,32061.4602913324,165357.441782881,85295.6775184192,27189.0693645358,9914.47474818956,4091.70195530512,691.285152219695,522.690140372304,"wbss_canum_1000"
2001,"D",118746.190489949,12096.2721371278,12280.9501394006,1495.8606318737,154.647125549695,121.358664363846,57.1099597006333,7.13874496257916,7.13874496257916,"wbss_canum_1000"
2001,"F",612759.524162326,490857.922048461,315263.702716028,199925.208575056,115244.288643971,62207.3768207331,39339.689129826,18203.4601166532,6005.56817472254,"wbss_canum_1000"
2002,"A",0,0,7589,14825,10583,3349,2877,969,620,"wbss_canum_1000"
2002,"C",49.4712240421518,172396.868040249,144133.022653996,125195.2803149,50368.9344536046,10303.2437040601,5937.4330502891,1799.55102858216,1679.75790456427,"wbss_canum_1000"
2002,"D",68015.7416036263,452740.069508935,26056.471097719,0,0,0,0,0,0,"wbss_canum_1000"
2002,"F",75709.2466472418,76972.5925438942,98607.9972790722,211013.235553758,148220.661247267,50701.6367020047,28302.0640203534,10726.4406086199,5710.4503878506,"wbss_canum_1000"
2003,"A",0,0,30,3130,5992,3502,1167,1305,605,"wbss_canum_1000"
2003,"C",13055.0964310341,29011.5153855395,178250.710995955,59576.8984473303,60688.3821350814,18929.1497692029,4562.62988309706,2696.54959978757,1092.45401560677,"wbss_canum_1000"
2003,"D",49395.5409559659,31947.1548490582,11032.6061080204,1621.32083360477,512.844229143104,412.211855667766,419.364907436728,0,38.1810424975238,"wbss_canum_1000"
2003,"F",1618.24776967136,34087.3340771707,57507.8792011545,83748.3012282679,131892.58728392,87502.407666734,23881.9856854099,12310.947144814,7126.45637146402,"wbss_canum_1000"
2004,"A",0,0,15140,27898,3520,4110,1002,456,146,"wbss_canum_1000"
2004,"C",5231.20635668321,107680.727279131,72729.6337911465,67023.7409035832,14517.5855412164,13688.8129247629,3575.09606049645,1479.67070705997,618.268922535134,"wbss_canum_1000"
2004,"D",14470.8182906964,94669.1567125586,7861.54391357297,5867.52340362983,415.434688490566,261.754637962697,0,0,0,"wbss_canum_1000"
2004,"F",9988.30165482697,83051.5394115299,83224.1422276276,78952.0445772712,84733.1715977877,83342.498811482,48962.4459277828,14054.4825364808,10553.7776477875,"wbss_canum_1000"
2005,"A",0,0,6569,17434,12680,2573,3787,1084,714,"wbss_canum_1000"
2005,"C",1379.42662315527,55590.6400901909,200478.258399551,67612.5326741862,44134.3873332986,7688.39613294591,8686.99225301872,2478.4997898789,811.919651479686,"wbss_canum_1000"
2005,"D",89534.1072546788,26747.6042957019,8861.74533984749,481.125612021775,182.127635450298,0,0,0,0,"wbss_canum_1000"
2005,"F",2448.77024922569,91154.9575895599,97109.1878562338,113833.524296926,94835.6455756691,56436.0992936011,59248.6541626867,29343.9238241228,12451.7511542905,"wbss_canum_1000"
2006,"A",0,129,3514,8783,13962,22370,5102,5258,3055,"wbss_canum_1000"
2006,"C",11327.8592212646,51183.1561749502,114769.336996487,96120.1043722912,29167.3757768846,25506.903919874,4504.25742470583,3905.79401764174,1627.68200380543,"wbss_canum_1000"
2006,"D",3536.38302261696,43174.7259874617,3198.32138623888,156.602466129697,0,253.454896735366,0,0,0,"wbss_canum_1000"
2006,"F",1047.87252114508,38216.7079255546,70277.541878653,123424.408461312,107105.164303699,45839.1178801424,31242.9367423796,21295.3810700646,11670.4158299835,"wbss_canum_1000"
2007,"A",0,0,74,2627,1253,596,806,377,613,"wbss_canum_1000"
2007,"C",246.8367374677,86764.397022103,85401.6983005361,33560.9464034295,35979.9909508442,13239.9404913948,9218.84748147017,2796.29818837226,3552.91974096919,"wbss_canum_1000"
2007,"D",1405.12709816353,12036.4869261401,5896.84853990484,0,0,0,0,0,0,"wbss_canum_1000"
2007,"F",612.007248117606,44578.4884752697,99486.9384882199,114248.011347566,102562.389876709,58143.0757831893,23770.7443677482,16145.1595624606,12380.1622955749,"wbss_canum_1000"
2008,"A",0,0,70,87,167,77,81,182,35,"wbss_canum_1000"
2008,"C",6600.49984318737,117380.027565536,57633.7306154608,31041.5274447208,9187.25584019679,10020.0553899471,6038.96552491194,3433.82331006697,1048.86381597508,"wbss_canum_1000"
2008,"D",3953.66553163856,5532.62577402369,1779.27347522596,134.453427327361,45.7719338253919,0,0,0,0,"wbss_canum_1000"
2008,"F",1833.36923395715,44799.3834405853,70846.1721247119,114574.195473007,79754.6156427782,80504.5882424045,42160.5547842447,13013.5182114872,15636.4301460164,"wbss_canum_1000"
2009,"A",0,0,1017,2075,3375,1423,1733,4471,3144,"wbss_canum_1000"
2009,"C",1869.68509809044,133185.771076463,149410.337702612,35457.4834128359,13785.3551048689,4411.34295156143,3456.28609059446,1694.06787950974,1457.46880418307,"wbss_canum_1000"
2009,"D",14496.3900518111,81136.695471742,3633.51901511294,442.158747536743,65.08352928,109.513004219795,10.86188544,5.43094272,10.86188544,"wbss_canum_1000"
2009,"F",660.588595099329,25975.4900639453,77263.3023665709,56449.8374627431,47367.1742079983,40158.7966988502,35090.8046465533,15495.2092491717,9407.27398117667,"wbss_canum_1000"
2010,"A",0,26,32,518,985,389,518,270,1018,"wbss_canum_1000"
2010,"C",342.732069390517,47217.7772301909,84418.7792450758,38442.1163475959,14623.0852719922,5544.31636607974,3302.7637343896,2518.62075571996,1788.38601156937,"wbss_canum_1000"
2010,"D",12215.3889726997,6848.69441334005,8173.9720565047,201.99399000386,310.111121715587,83.294556073025,0,0,0,"wbss_canum_1000"
2010,"F",2837.91230251149,24359.8619039874,29060.8911923611,36097.3924885941,27756.5445351328,23573.1135666007,14046.5714328733,7707.77926186069,7277.48347119295,"wbss_canum_1000"
2011,"A",0,0,63,442,400,235,69,109,298,"wbss_canum_1000"
2011,"C",122.055474606086,44871.1498999401,25487.2315725954,19186.0663455723,12079.1239802306,5479.15986056835,2683.74768927818,862.73316902209,790.320052458221,"wbss_canum_1000"
2011,"D",6152.88220943568,42338.3783690143,1366.84422959683,595.886706804061,0,0,0,0,0,"wbss_canum_1000"
2011,"F",2575.06368126244,14019.2388687969,17989.6219093346,19932.2036569874,34336.7487130904,21495.6232929781,19379.0786399401,10235.2530784736,8319.95115521443,"wbss_canum_1000"
2012,"A",0,0,16,214,359,0,1432,0,7395,"wbss_canum_1000"
2012,"C",0,16567.9174696567,78426.9045973001,19122.9218925262,9563.10661820079,6249.87166352825,2157.75044823427,1420.92029464881,806.54411805484,"wbss_canum_1000"
2012,"D",1521.27827694,16074.76091232,13868.1780054906,151.689207535254,0,0,0,0,0,"wbss_canum_1000"
2012,"F",435.140656489288,40344.0291850153,41395.0842414516,44490.8789007291,38143.1116602654,29797.8698437742,13845.304630754,8658.08559238883,8147.4319527884,"wbss_canum_1000"
2013,"A",0,0,53,409,172,494,312,67,645,"wbss_canum_1000"
2013,"C",0,6797.31873607736,40683.1518981873,64090.6254540657,9879.86970090229,4126.86456984418,1014.32305672997,349.568651488253,385.893272801337,"wbss_canum_1000"
2013,"D",0,6202.44657777172,16685.5587670671,2118.3280296862,400.824411308476,0,0,0,0,"wbss_canum_1000"
2013,"F",997.434201824258,60302.98856523,36360.3477750085,42510.3341729094,55478.494382666,29741.7155261208,25315.1436742197,11366.2286634646,10984.4453964871,"wbss_canum_1000"
2014,"A",0,34,2451,3369,5406,802,2116,1045,1573,"wbss_canum_1000"
2014,"C",777.157421633769,34022.3857185459,17216.2800484875,16608.321602883,30567.3570098585,6252.07010263752,2174.47308322693,2135.41755512156,868.61727484833,"wbss_canum_1000"
2014,"D",27673.6525745052,10061.5900690933,2305.23986670004,1397.01303760732,0,0,0,0,0,"wbss_canum_1000"
2014,"F",3957.60625565327,20601.0437257775,35997.8484549008,44399.6342408802,39082.1637447082,20152.9311935235,10920.3142937639,6606.93468996654,6126.03734822895,"wbss_canum_1000"
2015,"A",0,20,95,868,1404,3872,1837,1446,2170,"wbss_canum_1000"
2015,"C",932.570067972674,20365.3335158103,41894.4436426259,14273.7737654763,9977.25569297669,8449.41054109568,3534.02740824089,872.706622675967,2631.73028581428,"wbss_canum_1000"
2015,"D",3328.40153442432,44332.9636985769,9750.43931498775,456.560075313556,121.47164733,265.146152699901,0,0,0,"wbss_canum_1000"
2015,"F",13739.7674284867,45286.2507065689,74730.4196377174,39931.3084641152,48180.1256395178,29966.2685294918,14552.6267397019,7851.12878789606,9113.88720869993,"wbss_canum_1000"
2016,"A",0,20,1209,4109,1033,1137,1182,689,1210,"wbss_canum_1000"
2016,"C",76.6337718355649,21960.331493976,133876.587135646,39513.5627052753,12516.7574003158,8647.70414350927,12359.3232779625,2782.43022493018,5420.18896872887,"wbss_canum_1000"
2016,"D",35928.9773208327,15965.6212116248,15530.7094861279,753.41008274309,142.062569408014,792.942233187813,47.635899284771,24.1393182546482,24.1393182546482,"wbss_canum_1000"
2016,"F",16841.696952,22156.9268849847,37313.0718491266,93187.9295160389,45619.2339108017,30966.1229436386,17507.4652644087,10352.305492483,8211.22655594792,"wbss_canum_1000"
2017,"A",0,2.857656039,46.79001952,2367.748253,1013.027276,245.2060514,90.15743156,108.3103852,136.2593593,"wbss_canum_1000"
2017,"C",1102.24923251784,39503.2102991072,55178.5275708742,32784.9223501801,24115.4745642786,6745.45914940583,8680.1818009704,5905.85133881046,2228.8081438575,"wbss_canum_1000"
2017,"D",3889.18627405501,18077.0638397065,2250.24815438132,18.2959408521574,0,0,0,0,0,"wbss_canum_1000"
2017,"F",51.5101447641337,9282.65126617194,33065.1669018193,39158.9404819554,77266.0604095654,38856.1312587155,26819.0588269956,13356.3796439995,10208.8305958782,"wbss_canum_1000"
2018,"A",0,28.60373607,329.7964204,900.6030685,2277.117199,4269.882796,1744.267608,860.9432303,623.1041904,"wbss_canum_1000"
2018,"C",2.35960823918297,38386.2507089486,180914.294870353,13406.6945522542,10387.9354969994,13090.9859352178,3826.10231459687,2339.35570404314,2385.96571113036,"wbss_canum_1000"
2018,"D",385.633364336792,2002.98775357695,150.807827414541,3.24340786108891,0,0,0,0,0,"wbss_canum_1000"
2018,"F",367.538909712452,48329.5097112501,18181.1293864387,34731.323839904,23091.1034022373,51368.0926338315,16198.6914391985,8758.1901251768,4481.26836670983,"wbss_canum_1000"
2019,"A",0,7599.003518,6239.140182,4857.475417,2750.291079,7257.169943,9687.323693,2650.097622,2582.772478,"wbss_canum_1000"
2019,"C",5755.21041739047,28355.8407173707,57962.7403746416,14018.2336478409,4827.8210198361,2011.2014062511,1037.07068587025,412.504265233651,32.1541635494007,"wbss_canum_1000"
2019,"D",5754.83424343878,1378.4930080752,376.536137679681,61.4606121454972,0,0,0,0,0,"wbss_canum_1000"
2019,"F",270.508922372886,7376.44052631826,20438.297924035,15543.3031522033,13770.5203819972,10133.7221437227,15194.818318085,4292.83887112049,2975.37304533906,"wbss_canum_1000"
2020,"A",0,1811.691516,3203.772649,5844.573102,7536.173658,1218.578448,10720.19018,5324.728983,4587.412181,"wbss_canum_1000"
2020,"C",541.117728111523,32188.2785001104,48143.684726624,16931.8160582671,9799.95073556427,7715.74933577787,2486.03135045388,2829.32362744316,1024.42706324958,"wbss_canum_1000"
2020,"D",570.415215270177,18092.2682292035,2402.52547622764,675.859382649089,226.924092937894,116.950481031714,23.9208032910518,0,4.17493119796973,"wbss_canum_1000"
2020,"F",27.9085226532985,1702.213684197,2513.38323025994,4604.5297966873,4535.87698541037,6914.0598582336,4149.96524545239,5511.20150770987,1530.7927047727,"wbss_canum_1000"
2021,"A",0,393.7844831,1096.339804,2793.501397,7339.250825,4469.099742,1886.847375,1099.60843,2249.880232,"wbss_canum_1000"
2021,"C",2922.63386601296,950.042798065604,58678.0107384933,13988.3587428706,8042.67723187902,4160.57385667155,3235.57687033663,1537.06441659745,1783.38989726192,"wbss_canum_1000"
2021,"D",0,6526.27038659762,1519.96024564593,6.19989576120973,0.672668394162956,0,0,0,0,"wbss_canum_1000"
2021,"F",45.8327929459938,614.192121400352,1740.557542839,3071.64847391189,2422.15409278026,1489.57018758729,1446.00868444554,995.404770386344,1006.26153457619,"wbss_canum_1000"
2022,"A",0,105.375359954561,6264.04594191409,6690.66170805962,7194.22778401059,5099.6945364615,4463.87573268865,2509.54784462921,3209.19474776815,"wbss_canum_1000"
2022,"C",4160.90303171292,8.7750185573271,673.807428412637,142.731569174875,55.3612972630426,44.1649399822971,53.8818433322125,31.3721190891502,6.12487523025985,"wbss_canum_1000"
2022,"D",42.5125855252274,355.72787268558,148.166898787889,7.4797477427946,0.943690837075036,0,0,0,2.47213290125157,"wbss_canum_1000"
2022,"F",6.0882805483215,49.6608312564074,263.12590004342,876.192757665461,985.110748661151,959.021976939298,662.994713086756,447.484489724921,356.557138072857,"wbss_canum_1000"
2023,"A",0,590.71047718059,2607.77503726218,2621.06798111017,3125.66718934018,2116.94618034647,1252.5022764026,1183.06936407824,884.610134982444,"wbss_canum_1000"
2023,"C",114.029443259639,993.868743069765,134.118568400514,352.06028460204,198.523505027438,161.305085809117,99.8661125652728,36.0123800538666,16.0379669849103,"wbss_canum_1000"
2023,"D",4.65130912387989,1285.650235794,95.9396392940409,2.05848982554935,0,0,0,0,0,"wbss_canum_1000"
2023,"F",0.426232333678041,11.1670392954876,226.035707354488,1654.74421259461,1318.14108334658,822.547803270152,766.92466069433,370.915321024354,433.813339461348,"wbss_canum_1000"
2024,"A",0,141.995239939486,11855.0821891921,2862.87968948535,3760.38633369496,3967.60764841017,3453.34807412951,830.134600493432,1621.01556735935,"wbss_canum_1000"
2024,"C",74.3516902966583,388.190216791104,1058.87798986359,182.810119650257,167.869570118551,99.0339212760561,23.94900310228,10.6859205241185,8.71205008626095,"wbss_canum_1000"
2024,"D",140.961571550965,300.265494823095,12.3082953606747,0,0,0,0,0,0,"wbss_canum_1000"
2024,"F",529.381994170775,806.465262546306,457.428539161897,382.248706937469,1111.45655418283,1018.87205022473,775.015850204628,662.550243163151,550.742952176038,"wbss_canum_1000"
2000,"A",0,0,1148.66075,1611.32296,1880.21416,1171.3936,499.09374,131.61775,207.18918,"wbss_caton"
2000,"C",701.205730855234,3588.60555057297,16425.1118052444,11086.4780142273,8628.23657376592,2773.48478648281,871.637439807903,150.52043421805,109.415046271943,"wbss_caton"
2000,"D",983.005990186849,1618.34818254313,95.8849655409788,0,0,0,0,0,0,"wbss_caton"
2000,"F",2241.31137957465,27549.6062961747,16911.5220282048,9154.58019014766,10070.0047328977,7260.10557067777,4340.7163485458,1968.45658945804,1484.83924680531,"wbss_caton"
2001,"A",0,35.866,1445.90624,1547.50464,1092.03705,1347.10538,528.11136,343.5648,109.2855,"wbss_caton"
2001,"C",126.984574721108,1485.35218877236,12205.6149449871,8778.49476175347,3834.3571650421,1694.13116265558,730.049960726671,126.298575722942,106.700747840539,"wbss_caton"
2001,"D",1024.05780391926,326.720860331594,688.043882308141,93.2638339579376,16.0532653647137,14.8985607369027,7.18157743235464,0.770984455958549,1.20644789867588,"wbss_caton"
2001,"F",7907.82826167152,11383.7938375732,14197.9286888234,12859.8705313325,9724.83762935684,8643.3750475172,4979.75220760104,2372.91855833417,827.414293351616,"wbss_caton"
2002,"A",0,0,1085.68234,2285.7185,1748.09994,624.15313,568.38012,201.10626,138.5576,"wbss_caton"
2002,"C",0.469976628400442,4632.85291052357,12176.5854416008,14036.3504009412,6974.28487598779,1662.51663496648,1093.04060450875,337.476685363042,373.277072715344,"wbss_caton"
2002,"D",693.080406940952,6480.70672557944,551.605072841524,0,0,0,0,0,0,"wbss_caton"
2002,"F",814.095178941271,1584.81525571297,4876.82260510313,15902.3263665159,15576.0643701907,6086.09132667474,5025.5695574324,1788.58795147706,897.302312618733,"wbss_caton"
2003,"A",0,0,3.042,424.3341,847.38864,571.42134,204.41172,240.86385,116.35965,"wbss_caton"
2003,"C",191.502690469669,1540.76026946675,13879.2308709921,6611.29085600916,8082.92269577392,2726.93710591019,733.529883896141,441.991275822986,160.396977645472,"wbss_caton"
2003,"D",622.056313571245,635.414221694606,544.129207948652,157.076723240985,61.6727871059577,16.1958038091865,36.3319029643045,0,6.68168243706666,"wbss_caton"
2003,"F",32.5457939413291,1084.3638367193,2984.44470611341,6498.14662004581,12887.7628524002,10446.9398248441,3144.84991689601,2059.38730274346,1176.47659249772,"wbss_caton"
2004,"A",0,0,1825.884,3704.8544,576.928,681.849,175.1496,84.0408,30.3534,"wbss_caton"
2004,"C",155.388140520913,6422.53013888371,5723.88749977286,7720.85718280969,2043.77737783553,2149.2641084214,604.000986234689,278.130410594882,108.297472523457,"wbss_caton"
2004,"D",366.603628960167,2063.06199450655,386.965077642196,279.807231974507,64.4786222367924,41.1978108063759,0,0,0,"wbss_caton"
2004,"F",85.4703214054331,1668.05124389198,4213.14335435818,6060.60278120707,8150.68153273364,10394.3766714629,7286.95490156156,2307.55091943737,1593.70453465486,"wbss_caton"
2005,"A",0,0,703.47421,2682.74392,2125.2948,461.3389,714.6069,202.02508,148.76904,"wbss_caton"
2005,"C",30.396289763472,3711.89740384521,16980.4067725139,7514.56815812364,6254.15879823192,1205.25532431108,1479.54727102656,431.233347533764,157.928938272255,"wbss_caton"
2005,"D",1212.09273521724,774.373113965557,531.575674718616,39.7554022306746,21.2383213771041,0,0,0,0,"wbss_caton"
2005,"F",34.0348857787701,1345.09207950283,4671.93698567952,8081.10307842728,8239.21519028964,6434.95856215893,8351.20440512037,4628.17530000298,2046.79432359563,"wbss_caton"
2006,"A",0,3.18114,437.77412,1307.26172,2291.02458,3919.8951,1091.5729,1179.52714,722.9963,"wbss_caton"
2006,"C",163.925509305911,2814.96251544063,9490.30322643412,10529.1361891135,3895.8953966791,4481.5908380845,807.19148902642,734.083476981077,312.021231063375,"wbss_caton"
2006,"D",43.0674837286628,901.583988135837,125.034758920275,22.097171776681,0,31.8923233097485,0,0,0,"wbss_caton"
2006,"F",26.6115168279501,1466.23212169368,3954.72764838907,10128.6151904028,10737.9766406478,5566.88819533058,4371.60119606644,3714.19724400762,1922.39571591942,"wbss_caton"
2007,"A",0,0,11.58766,389.37394,196.05691,110.26,149.7548,75.14364,137.83305,"wbss_caton"
