"year","0","1","2","3","4","5","6","7","8+","value"
2000,176277.284524127,1155003.88059557,595811.734227228,226899.070128331,155327.481039461,77055.7599923593,38291.2681372872,14297.1037964699,11296.3615330849,"wbss_canum_1000"
2001,740665.797225123,535469.654476921,504246.094638309,296940.746725349,148711.005134057,79394.2102332865,46152.5010448317,20457.8840138354,6945.39706005742,"wbss_canum_1000"
2002,143774.45947491,702109.530093078,276386.491030787,351033.515868658,209172.595700872,64353.8804060649,37116.4970706425,13494.9916372021,8010.20829241487,"wbss_canum_1000"
2003,64068.8851566714,95046.0043117684,246821.19630513,148076.520509203,199085.813648144,110345.769291605,30030.9804759437,16312.4967446015,8862.09142956831,"wbss_canum_1000"
2004,29690.3263022066,285401.42340322,178955.319932347,179741.308884484,103186.191827495,101403.066374208,53539.5419882793,15990.1532435407,11318.0465703226,"wbss_canum_1000"
2005,93362.3041270598,173493.201975453,313018.191595632,199361.182583134,151832.160544418,66697.495426547,71722.6464157055,32906.4236140017,13977.6708057702,"wbss_canum_1000"
2006,15912.1147650267,132703.590087966,191759.200261379,228484.115299733,150234.540080584,93969.4766967518,40849.1941670854,30459.1750877063,16353.0978337889,"wbss_canum_1000"
2007,2263.97108374884,143379.372423513,190859.485328661,150435.957750996,139795.380827553,71979.016274584,33795.5918492183,19318.4577508328,16546.0820365441,"wbss_canum_1000"
2008,12387.5346087831,167712.036780145,130329.176215399,145837.176345055,89154.6434168004,90601.6436323516,48280.5203091566,16629.3415215542,16720.2939619915,"wbss_canum_1000"
2009,17026.6637450008,240297.956612151,231324.159084296,94424.4796231158,64592.6128421472,46102.6526546314,40290.9526225877,21665.7080714015,14019.6046707997,"wbss_canum_1000"
2010,15396.0333446017,78452.3335475184,121685.642493942,75259.5028261939,43674.7409288406,29589.7244887535,17867.3351672629,10496.4000175807,10083.8694827623,"wbss_canum_1000"
2011,8850.0013653042,101228.767137751,44906.6977115268,40156.1567093638,46815.872693321,27209.7831535464,22131.8263292182,11206.9862474957,9408.27120767265,"wbss_canum_1000"
2012,1956.41893342929,72986.707566992,133706.166844242,63979.4900007906,48065.2182784662,36047.7415073025,17435.0550789883,10079.0058870376,16348.9760708432,"wbss_canum_1000"
2013,997.434201824258,73302.7538790791,93782.0584402629,109128.287656661,65931.1884948768,34362.580095965,26641.4667309497,11782.7973149528,12015.3386692885,"wbss_canum_1000"
2014,32408.4162517922,64719.0195134167,57970.3683700883,65773.9688813705,75055.5207545667,27207.001296161,15210.7873769908,9787.3522450881,8567.65462307728,"wbss_canum_1000"
2015,18000.7390308837,110004.547920956,126470.302595331,55529.642304905,59682.8529798244,42552.8252232874,19923.6541479428,10169.835410572,13915.6174945142,"wbss_canum_1000"
2016,52847.3080446682,60102.8795905855,187929.3684709,137563.902304057,59311.0538805256,41543.7693203356,31096.424441656,13847.8750356678,14865.5548429314,"wbss_canum_1000"
2017,5042.94565133699,66865.7830610246,90540.7326465948,74329.9070259876,102394.562249844,45846.7964595213,35589.398059526,19370.5413680099,12573.8980990357,"wbss_canum_1000"
2018,755.531882288427,88747.3519098457,199576.028504607,49041.8648685193,35756.1560982366,68728.9613650492,21769.0613617954,11958.4890595199,7490.33826824019,"wbss_canum_1000"
2019,11780.5535832021,44709.7777697642,85016.7146183563,34480.4728291897,21348.6324808333,19402.0934929738,25919.2126969552,7355.44075835414,5590.29968688846,"wbss_canum_1000"
2020,1139.441466035,53794.4519295109,56263.3660821116,28056.7783396035,22098.9254719125,15965.3381230432,17380.1075791973,13665.254118153,7146.80688022025,"wbss_canum_1000"
2021,2968.46665895895,8484.28978916358,63034.8683309782,19859.7085095437,17804.7548180534,10119.2437862588,6568.43292978217,3632.0776169838,5039.53166383811,"wbss_canum_1000"
2022,4209.50389778647,519.539082453875,7349.14616915804,7717.06578264275,8235.64352077186,6102.88145338309,5180.75228910762,2988.40445344328,3574.34889397252,"wbss_canum_1000"
2023,119.106984717197,2881.39649533985,3063.86895231122,4629.93096813237,4642.3317777142,3100.79906942574,2119.2930496622,1589.99706515646,1334.4614414287,"wbss_canum_1000"
2024,744.695256018398,1636.91621409999,13383.6970135783,3427.93851607307,5039.71245799633,5085.51361991096,4252.31292743642,1503.3707641807,2180.47056962165,"wbss_canum_1000"
2000,3925.52310061673,32756.5600292908,34581.1795489901,21852.3811643749,20578.4554666636,11204.9839571606,5711.4475283537,2250.59477367609,1801.44347307725,"wbss_caton"
2001,9058.87064031189,13231.7328866771,28537.4937561186,23279.1337670439,14667.2851097636,11699.5101509097,6245.09510576007,2843.55291851307,1044.60698909083,"wbss_caton"
2002,1507.64556251062,12698.374891816,18690.6954595454,32224.3952674571,24298.4491861785,8372.76109164122,6686.99028194115,2327.1708968401,1409.13698533408,"wbss_caton"
2003,846.104797982243,3260.53832788066,17410.8467850541,13690.848299296,21879.7469752801,13761.4940745635,4119.12342375645,2742.24242856644,1459.91490258026,"wbss_caton"
2004,607.462090886514,10153.6433772822,12149.8799317732,17766.1215959913,10835.865532806,13266.6875906907,8066.10548779625,2669.72213003225,1732.35540717831,"wbss_caton"
2005,1276.52391075948,5831.3625973136,22887.393642912,18318.1705587816,16639.9071098987,8101.55278647002,10545.3585761469,5261.43372753674,2353.49230186788,"wbss_caton"
2006,233.604509862524,5185.95976527015,14007.8397537435,21987.110271293,16924.8966173269,14000.2664567248,6270.36558509286,5627.80786098869,2957.41324698279,"wbss_caton"
2007,50.8822721214147,7213.09285835768,13132.2226638566,12794.3611177386,15851.1548270305,8941.73235883009,5082.65162548246,3109.9943347205,3152.4383940382,"wbss_caton"
2008,316.445745856602,10301.0505068024,9658.90652456897,13067.5455491323,9488.45032489906,11478.0421841859,6301.59381798665,2583.67149938466,2686.91905521285,"wbss_caton"
2009,242.562529069671,10035.1389674121,17689.8653057231,9519.38393105587,8728.60350706947,7046.76834942316,6545.99282471277,3892.73614039881,2750.91993785032,"wbss_caton"
2010,137.918378184957,3789.64601880579,9271.89160518408,8115.19563324933,6012.53465010772,4968.39586891285,3253.20984989797,2090.84815588085,2064.27188866192,"wbss_caton"
2011,87.3065902986553,3312.53336085375,3476.17303626437,4149.99554712013,5574.83402224746,4057.06380628689,3420.5794375798,1848.71762430365,1633.34032600225,"wbss_caton"
2012,22.2699353645653,2225.32327882563,9208.23895974141,6741.55189665219,5995.96511613893,5561.01915024695,3075.94092511176,1833.42654546269,3413.7887923027,"wbss_caton"
2013,13.6850386698732,1824.1240861283,6914.90749566336,12315.7159487921,8872.27789914393,5058.53209055661,3962.56695223625,1908.36711256947,2221.24158243235,"wbss_caton"
